H;TPS;Arttu Tuhkala;3;0;2;2;630;-1
H;Tappara;Aapeli Räsänen;1;0;2;2;599;0
H;TPS;Niklas Friman;3;1;1;2;850;2
H;KalPa;Hugo Gallet;3;0;2;2;847;2
H;K-Espoo;Mathias From;3;2;0;2;711;-2
H;Lukko;Felix Robert;2;1;1;2;603;0
H;Jukurit;Jesper Olofsson;4;2;0;2;740;-2
H;Kärpät;Henrik Törnqvist;2;2;0;2;830;0
H;JYP;Valtteri Ojantakanen;2;1;1;2;938;-1
H;KooKoo;Manu Mäkelä;2;1;1;2;577;1
H;K-Espoo;Aarne Talvitie;3;0;1;1;635;3
H;HPK;Andrej Kukuca;3;1;0;1;660;-2
H;HIFK;Lukas Pilö;3;1;0;1;1180;-1
H;KalPa;Veikka Mononen;2;0;1;1;946;2
H;Kärpät;Aleksi Matinmikko;2;1;0;1;1346;0
H;Jukurit;Justin Addamo;4;0;1;1;758;2
H;JYP;Daniel Torgersson;2;0;1;1;1013;1
H;Lukko;Topias Haapanen;2;1;0;1;535;1
H;TPS;Aatos Koivu;3;1;0;1;594;0
H;KooKoo;Robert Rooba;2;1;0;1;987;-2
H;Pelicans;Christoffer Forsberg;3;0;1;1;668;0
H;JYP;Ossi-Veikka Vuontisvaara;1;0;1;1;246;1
H;HIFK;Iiro Pakarinen;3;1;0;1;950;1
H;Jokerit;Antti Kalapudas;2;1;0;1;620;-6
H;TPS;Joel Määttä;3;1;0;1;694;1
H;Ilves;Lukas Jasek;3;1;0;1;997;-1
H;Ilves;Matic Török;3;0;1;1;1032;1
H;JYP;Reece Newkirk;2;1;0;1;868;-1
H;KooKoo;Miska Siikonen;2;1;0;1;1037;0
H;Lukko;Jami Krannila;2;0;1;1;414;0
H;KooKoo;Veeti Miettinen;2;1;0;1;1033;1
H;Kärpät;Jiri Tichacek;2;0;1;1;954;0
H;KalPa;Mitja Jokinen;3;0;1;1;737;0
H;HPK;Roope Vesterinen;3;0;1;1;665;1
H;Kärpät;Tuomas Salmela;2;0;1;1;1133;2
H;Ässät;Alexandr Kim;3;1;0;1;349;0
H;Tappara;Benjamin Rautiainen;1;1;0;1;1047;0
H;Ässät;Otso Ylitalo;3;0;1;1;534;2
H;Pelicans;Gabriel Fortier;3;0;1;1;771;1
H;SaiPa;Eero Klintrup;1;0;1;1;550;1
H;SaiPa;Mikko Perttu;1;0;1;1;351;-1
H;Tappara;Joni Tuulola;1;0;1;1;513;0
H;KooKoo;Axel Holmström;2;0;1;1;858;0
H;K-Espoo;Kasper Kotkansalo;3;0;1;1;656;0
H;Kärpät;Eetu Koivistoinen;2;0;1;1;1004;2
H;HPK;Miska Kukkonen;3;0;1;1;1023;-1
H;KooKoo;Ari Gröndahl;2;0;1;1;878;-1
H;Ässät;Peter Tiivola;2;0;1;1;397;0
H;Jokerit;Aleksi Elorinne;2;0;1;1;698;1
H;Tappara;Juuso Nykänen;1;1;0;1;283;0
H;Sport;Luke Grainger;4;0;1;1;868;-4
H;Sport;Isak Walther;4;0;1;1;682;-2
H;HPK;Garrett Pyke;3;0;1;1;803;-1
H;KalPa;Elias Vilén;3;1;0;1;814;3
H;Ässät;Simon Pinard;3;0;1;1;824;-2
H;Sport;Philip Granath;4;0;1;1;874;-5
H;Kärpät;Wiktor Nilsson;2;1;0;1;874;0
H;K-Espoo;Niklas Peltomäki;1;0;1;1;294;0
H;Jokerit;Bruno Kallio;1;0;1;1;629;1
H;HIFK;Linus Nässen;3;0;1;1;1351;-1
H;Jokerit;Kristo Pitkänen;2;1;0;1;300;0
H;KalPa;Juuso Könönen;2;1;0;1;429;0
H;Ilves;Toni Utunen;3;0;1;1;798;1
H;Ilves;Austin Strand;3;1;0;1;1131;4
H;Sport;Eetu Levänen;1;1;0;1;444;0
H;Tappara;Dylan Fabre;0;1;0;1;0;0
H;Kärpät;Andreas Okany;2;0;1;1;760;-1
H;HIFK;Aron Kiviharju;2;0;1;1;1215;-2
H;SaiPa;Miikka Salomäki;1;0;1;1;1003;1
H;Lukko;Peetro Seppälä;2;0;1;1;761;2
H;HPK;Arturs Andzans;3;0;1;1;718;-1
H;Sport;Johan Sundström;4;0;1;1;920;-4
H;Sport;Kalle Miketinac;4;1;0;1;784;-3
H;Sport;Theodor Johnsson;4;0;1;1;733;0
H;Tappara;Tomi Sallinen;1;0;1;1;446;0
H;Sport;Kalle Ervasti;3;0;1;1;651;-1
H;Tappara;Jyrki Jokipakka;1;0;1;1;632;-1
H;K-Espoo;Carter King;3;1;0;1;685;1
H;KalPa;Lasse Lappalainen;3;0;1;1;747;1
H;Jokerit;Patrick Curry;2;0;1;1;770;-2
H;Lukko;Henri Ikonen;2;0;1;1;479;1
H;KalPa;Juuso Ketola;2;0;1;1;113;0
H;Lukko;Jirko Tukiainen;2;0;1;1;469;-2
H;SaiPa;Nicholas Zabaneh;1;0;1;1;410;2
H;SaiPa;Petr Fridrich;1;1;0;1;505;-1
H;Ässät;Kasperi Ojantakanen;3;1;0;1;476;0
H;Ilves;Aleks Haatanen;3;0;1;1;893;1
H;Tappara;Jesper Mattila;1;0;1;1;524;0
H;Jokerit;Matthew Caito;1;0;1;1;532;-1
H;K-Espoo;Joni Jurmo;2;0;1;1;627;1
H;Sport;Valtteri Viljanen;4;0;1;1;847;-2
H;Jukurit;Niko Korkola;4;0;1;1;863;0
H;KalPa;Kristjan Kombe;1;0;1;1;305;2
H;Ässät;Aleksi Anttalainen;3;1;0;1;738;2
H;HIFK;Jori Lehterä;3;0;1;1;1079;-2
H;JYP;Roni Jokinen;2;0;1;1;596;0
H;HPK;Anrei Hakulinen;3;0;1;1;805;-2
H;K-Espoo;Connor Corcoran;3;0;1;1;886;3
H;Ilves;Timi Teuho-Markkola;3;0;1;1;704;1
H;SaiPa;Patrik Siikanen;1;1;0;1;344;0
H;Jukurit;Viljam Sandvik;4;0;1;1;656;2
H;Lukko;Heikki Liedes;2;1;0;1;683;0
H;K-Espoo;Linus Öberg;3;1;0;1;762;2
H;Lukko;Mikael Ruohomaa;2;0;1;1;723;0
H;Ilves;Ondrej Kos;3;0;1;1;854;-1
H;Ilves;Teemu Engberg;3;0;1;1;863;0
H;TPS;Sisu Yliniemi;3;1;0;1;686;-1
H;Kärpät;Kalle Loponen;2;0;1;1;887;0
H;KooKoo;Akseli Mäkinen;2;0;1;1;742;-2
H;Pelicans;Anton Kettunen;2;1;0;1;614;0
H;Ilves;Jens Lööke;3;0;1;1;980;0
H;HIFK;Saku Salmela;3;0;1;1;879;1
H;KalPa;Samuel Jung;0;0;0;0;0;0
H;Ässät;Eeli Äijälä;0;0;0;0;0;0
H;K-Espoo;Matti Järvinen;0;0;0;0;0;0
H;JYP;Elias Huttu;0;0;0;0;0;0
H;JYP;Arvid Costmar;0;0;0;0;0;0
H;Kärpät;Aarno Erholtz;0;0;0;0;0;0
H;HIFK;Jere Somervuori;3;0;0;0;500;0
H;Jokerit;Oliver Tuhkanen;0;0;0;0;0;0
H;TPS;Eetu Vahalahti;0;0;0;0;0;0
H;Jokerit;Max Krogdahl;2;0;0;0;775;-2
H;HIFK;Ossi Sippola;2;0;0;0;470;1
H;Ässät;Patrik Juhola;2;0;0;0;787;1
H;Kärpät;Lenni Kokkonen;0;0;0;0;0;0
H;Tappara;Iivari Räsänen;0;0;0;0;0;0
H;K-Espoo;Elias Puolanne;3;0;0;0;248;2
H;SaiPa;Ondrej Trejbal;1;0;0;0;530;0
H;K-Espoo;Iikka Kangasniemi;3;0;0;0;696;1
H;Sport;Samuel Timonen;2;0;0;0;238;1
H;Jokerit;Riku Tuomola;1;0;0;0;1208;0
H;Sport;Elias Mourujärvi;0;0;0;0;0;0
H;Ilves;Jaakko Lantta;3;0;0;0;906;-1
H;Jukurit;Aaro Chrons;4;0;0;0;499;-1
H;KooKoo;Jiri Pärssinen;2;0;0;0;1076;1
H;TPS;Axel Landen;3;0;0;0;847;2
